数据库：年度数据
时间：最近20年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
年末总人口(万人),140967,141175,141260,141212,141008,140541,140011,139232,138326,137646,136726,135922,134916,134091,133450,132802,132129,131448,130756,129988
男性人口(万人),72032,72206,72311,72357,72039,71864,71650,71307,70857,70522,70063,69660,69161,68748,68647,68357,68048,67728,67375,66976
女性人口(万人),68935,68969,68949,68855,68969,68677,68361,67925,67469,67124,66663,66262,65755,65343,64803,64445,64081,63720,63381,63012
城镇人口(万人),93267,92071,91425,90220,88426,86433,84343,81924,79302,76738,74502,72175,69927,66978,64512,62403,60633,58288,56212,54283
乡村人口(万人),47700,49104,49835,50992,52582,54108,55668,57308,59024,60908,62224,63747,64989,67113,68938,70399,71496,73160,74544,75705
注：1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
