,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95
ADF Statistic,-2.672894143694947,-1.8642826431071138,1.2190451600397834,-2.2742574514997558,-2.111258839879181,-4.024253859160949,-2.073498244790487,2.6933260738629703,-0.7552789435314105,-1.9848188652697596,-1.4530406367834645,-3.8542303259741826,0.03204199243892947,-2.8694486183169623,-1.8176403938760524,0.7059392885828738,-1.5525106984092785,-2.9973961531943756,-1.834590439020907,-2.90365716473414
p-value,0.0788473568004513,0.34904563665550725,0.9961148616477341,0.18040489781770058,0.24001153196827696,0.0012887023587626989,0.25530372588422395,0.9990866377835939,0.8319070120276089,0.2932689095156821,0.5566005272235018,0.0023987348129048355,0.9611030710460762,0.04901780043365796,0.37173956270209313,0.9899556559803213,0.5073938298112176,0.035138283359762615,0.36342870033728436,0.04492436882274389
Lags Used,0,6,0,6,6,4,1,6,6,1,6,1,0,0,2,2,6,0,6,2
Number of Observations Used,16,10,16,10,10,12,15,10,10,15,10,15,16,16,14,14,10,16,10,14
Critical Values (1%)(5%)(10%),"{'1%': np.float64(-3.9240193847656246), '5%': np.float64(-3.0684982031250003), '10%': np.float64(-2.67389265625)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-3.9240193847656246), '5%': np.float64(-3.0684982031250003), '10%': np.float64(-2.67389265625)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-4.137829282407408), '5%': np.float64(-3.1549724074074077), '10%': np.float64(-2.7144769444444443)}","{'1%': np.float64(-3.9644434814814815), '5%': np.float64(-3.0849081481481484), '10%': np.float64(-2.6818144444444445)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-3.9644434814814815), '5%': np.float64(-3.0849081481481484), '10%': np.float64(-2.6818144444444445)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-3.9644434814814815), '5%': np.float64(-3.0849081481481484), '10%': np.float64(-2.6818144444444445)}","{'1%': np.float64(-3.9240193847656246), '5%': np.float64(-3.0684982031250003), '10%': np.float64(-2.67389265625)}","{'1%': np.float64(-3.9240193847656246), '5%': np.float64(-3.0684982031250003), '10%': np.float64(-2.67389265625)}","{'1%': np.float64(-4.01203360058309), '5%': np.float64(-3.1041838775510207), '10%': np.float64(-2.6909873469387753)}","{'1%': np.float64(-4.01203360058309), '5%': np.float64(-3.1041838775510207), '10%': np.float64(-2.6909873469387753)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-3.9240193847656246), '5%': np.float64(-3.0684982031250003), '10%': np.float64(-2.67389265625)}","{'1%': np.float64(-4.331573), '5%': np.float64(-3.23295), '10%': np.float64(-2.7487)}","{'1%': np.float64(-4.01203360058309), '5%': np.float64(-3.1041838775510207), '10%': np.float64(-2.6909873469387753)}"
icbest,15.432698157645277,10.051518547304,2.5448730716360117,-18.968902713048976,20.43882323036398,9.452531857909129,12.568727627571548,-12.598245926289344,2.4301801641213885,10.32359912783317,12.158660454396085,11.010254564304947,-1.1344500596336644,-8.680350863306238,-1.0587071721864163,5.62157772098324,-15.47850327384868,-17.879589603819554,-11.903505992497287,-8.11643552073319
