,0-4,5-9,10-14,15-19,20-24,prob_sum,pop_total,pop_cnt
2004,0.049378124837897476,0.06082765060072702,0.08281374070778451,0.08719340177883829,0.06352743073982595,0.23083479308734983,129988.0,30005.75308383843
2005,0.05340365574328529,0.06244428423186803,0.07967041345088588,0.08498197844006564,0.061034809969712285,0.22709667612281956,130756.0,29694.252983115395
2006,0.05077364492657626,0.059185052646759446,0.07473676620277597,0.0880573437995214,0.0638569389921403,0.22197916264905682,131448.0,29178.71697189322
2007,0.05047028826344555,0.057373401562496054,0.07089697570282459,0.08321086462209114,0.06612132688504373,0.2114812418874118,132129.0,27942.805009341835
2008,0.05125831444666663,0.05464645941820299,0.06726906011857235,0.07871476197708824,0.06863263361450496,0.20063028151386358,132802.0,26644.10264560411
2009,0.05163838878750474,0.054077903082097124,0.0629698554317391,0.07168841513975276,0.0752257967048531,0.18873617365358897,133450.0,25186.842374071446
2010,0.05222940872838809,0.055883226204321255,0.06547324653947405,0.0754101920880153,0.07457952138245255,0.1967666648318106,134091.0,26384.638853962315
2011,0.05660975420207141,0.05350901014574632,0.054558600220571095,0.07019504736689984,0.09480103631738836,0.17826265773321726,134916.0,24050.48473073474
2012,0.05688914259496862,0.05451331556798004,0.0532115899813366,0.06572113730270722,0.09046459333079035,0.17344604285202386,135922.0,23575.13303653279
2013,0.056766923007457754,0.055833474155358435,0.0514666502150777,0.06143863780843376,0.08709149318734337,0.1687387621788699,136726.0,23070.975997668167
2014,0.05691025096006588,0.05614717867808844,0.05183822156132771,0.057558595591256506,0.08074069594326584,0.16554399583067264,137646.0,22786.468850108766
2015,0.058349846925999004,0.055119684504318436,0.051778693756325295,0.054689133817508916,0.07295511532550707,0.16158751207815264,138326.0,22351.75419572254
2016,0.05910697492873606,0.055120857257091635,0.0521753097315329,0.05316147662516763,0.06830803294246468,0.16045764361379217,139232.0,22340.83863563551
2017,0.059649193273759525,0.05528419221721796,0.05302528888989789,0.0517364828167922,0.06390330112482384,0.16004596392390805,140011.0,22408.195454950288
2018,0.058876615343756336,0.0553200634605573,0.054381783744871785,0.05089599597430826,0.05945059092402206,0.16059784317973735,140541.0,22570.581478323467
2019,0.0574442519113892,0.05559330913034081,0.05480842146910455,0.05112485300528632,0.056342478449933876,0.16152658360473168,141008.0,22776.540500936004
2020,0.05620668216233146,0.05489733866034766,0.059728729969022315,0.06523120656617493,0.07010701834370231,0.1798572751955449,141212.0,25398.005544913285
2021,0.04884562405374906,0.06431762171916142,0.061780899485560765,0.0531533666119163,0.0517089743744202,0.17925188781663848,141260.0,25321.121672978352
2022,0.04310815265416248,0.06287621295349849,0.06360543935024751,0.05509710553214829,0.05098975343422004,0.18157875783589428,141175.0,25634.381137482374
2023,0.05008003930938515,0.057069245263472866,0.06607829915640764,0.07649929899916307,0.07784239572476248,0.1996468434190436,140967.0,28143.61657625232
2024,0.046706839732416475,0.06513595461689867,0.06564631147379975,0.062389165908322344,0.059832167811351866,0.19317143199902076,140802.37747471037,27198.996885656466
2025,0.04544893355064158,0.060568779126495595,0.06422181085083672,0.06266655726913406,0.06056397023329108,0.1874571472464664,140695.49148871808,26374.375464914585
2026,0.045030045526448764,0.06229036697858892,0.06529489155720773,0.06332742077021732,0.06058885393853862,0.19091267930601397,140655.02749213335,26852.828156384232
2027,0.04390895148531011,0.06285707553540518,0.06540903742369383,0.06196604455297625,0.058482039267714434,0.19023215751207526,140687.37644716445,26763.263156257613
2028,0.04339854613368487,0.06258938796305905,0.06598455773649303,0.06351541071382888,0.05984253685759551,0.19208935641338096,140776.1608425688,27041.60213459564
2029,0.04249196986491726,0.06365254569046387,0.06654256948641508,0.06303750473747137,0.05862018527682147,0.1932326199143503,140899.8635876105,27226.449786608548
2030,0.03995877396711785,0.06570601665888462,0.06574072892146407,0.05592528319265719,0.04959372653970352,0.18737202877300588,141036.81275763473,26426.353738076577
2031,0.03981612604527315,0.06325305251083886,0.06628602304215676,0.06037795801966493,0.05461591557901195,0.18991703357266054,141167.5074621569,26810.114254059263
2032,0.03996581748330416,0.0644282937445516,0.06809867765279885,0.06437327217749392,0.05844337688487106,0.19690024357484437,141278.1180019815,27817.695846385763
