,0,1,2,3
0,Dep. Variable:,洪水概率,  R-squared:         ,   0.845
1,Model:,OLS,  Adj. R-squared:    ,   0.845
2,Method:,Least Squares,  F-statistic:       ,2.859e+05
3,Date:,"Sun, 07 Jul 2024",  Prob (F-statistic):,  0.00
4,Time:,17:10:44,  Log-Likelihood:    ,2.6095e+06
5,No. Observations:,1048575,  AIC:               ,-5.219e+06
6,Df Residuals:,1048554,  BIC:               ,-5.219e+06
7,Df Model:,    20,                     , 
8,Covariance Type:,nonrobust,                     , 
