数据库：分省年度数据
地区：北京市
时间：最近20年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
年末常住人口(万人),2186,2184,2189,2189,2190,2192,2194,2195,2188,2171,2125,2078,2024,1962,1860,1771,1676,1601,1538,1493
城镇人口(万人),,1913,1916,1916,1913,1909,1907,1904,1897,1878,1836,1793,1745,1686,1581,1504,1416,1350,1286,
乡村人口(万人),,271,273,273,277,283,287,291,291,293,289,285,279,275,279,267,260,251,252,
注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
